T, <E>, E_error, <|M|>, c, c_error, Chi

1.000000 -4992.910010 0.248985 2498.182002 0.024525 0.001272 0.001692
1.100000 -4984.760364 0.355461 2496.101112 0.041310 0.002097 0.003079
1.200000 -4971.971689 0.477060 2492.687563 0.062523 0.003144 0.005540
1.300000 -4949.524772 0.640503 2486.639029 0.096031 0.004036 0.009681
1.400000 -4920.550051 0.852162 2478.643074 0.146570 0.007203 0.016774
1.500000 -4876.582406 1.066726 2465.876643 0.200069 0.009088 0.028019
1.600000 -4820.849343 1.296809 2449.191102 0.259877 0.012327 0.042033
1.700000 -4743.963600 1.547518 2424.442872 0.327816 0.015841 0.067029
1.800000 -4650.034378 1.901793 2392.446916 0.441609 0.021709 0.114390
1.900000 -4527.437816 2.238154 2348.382204 0.548945 0.023804 0.177400
2.000000 -4363.826087 2.613094 2278.865521 0.675315 0.030605 0.343177
2.100000 -4155.009100 3.304084 2163.609707 0.979309 0.042843 1.476175
2.200000 -3855.187058 3.992913 1940.305359 1.303139 0.056746 4.560751
2.300000 -3358.883721 5.053115 995.067745 1.909497 0.087393 40.913953
2.400000 -3007.692619 3.847741 495.146613 1.016823 0.047987 15.007029
2.500000 -2762.006067 3.580580 307.083923 0.811490 0.040109 8.079641
2.600000 -2572.198180 3.493649 247.771486 0.714279 0.032296 5.198885
2.700000 -2406.341759 3.368897 199.688574 0.615892 0.028769 3.416691
2.800000 -2269.342770 3.239297 173.872599 0.529470 0.026027 2.467834
2.900000 -2147.037412 2.994066 146.402427 0.421680 0.016906 1.710587
3.000000 -2040.537917 3.034637 131.844287 0.404788 0.017985 1.313770
